full_name,date_of_birth,time_of_birth,place_of_birth,astrosage_url,accuracy_rating,data_source,sun_sign,sun_degree,sun_house,sun_retrograde,moon_sign,moon_degree,moon_house,moon_retrograde,mars_sign,mars_degree,mars_house,mars_retrograde,mercury_sign,mercury_degree,mercury_house,mercury_retrograde,jupiter_sign,jupiter_degree,jupiter_house,jupiter_retrograde,venus_sign,venus_degree,venus_house,venus_retrograde,saturn_sign,saturn_degree,saturn_house,saturn_retrograde,uranus_sign,uranus_degree,uranus_house,uranus_retrograde,neptune_sign,neptune_degree,neptune_house,neptune_retrograde,rahu_sign,rahu_degree,rahu_house,rahu_retrograde,ketu_sign,ketu_degree,ketu_house,ketu_retrograde,latitude,longitude,timezone
Salman Khan-1,"December 27, 1965",09:30:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/salman-khan-1-horoscope.asp,Reference,765 Notable Horoscopes,Sagittarius,11.816757773937752,12,False,Capricorn,29.076014660149724,1,False,Capricorn,9.706433817653815,1,False,Scorpio,20.735136161637826,11,False,Gemini,1.6807027991444627,6,True,Capricorn,18.70303522963019,1,False,Aquarius,18.69262027725199,2,False,Leo,26.25453632067976,8,True,Libra,27.912655936104244,10,False,Taurus,9.525061619681964,5,True,Scorpio,9.525061619681964,11,True,19.054999,72.8692035,5.5
Virat Kohli,"November 05, 1988",10:28:00,Delhi,https://www.astrosage.com/celebrity-horoscope/virat-kohli-horoscope.asp,Dirty Data,Unknown,Libra,19.296877210982416,11,False,Virgo,0.3297892562438562,10,False,Pisces,6.588400195928216,4,False,Libra,4.100073347073931,11,False,Taurus,9.695297854291674,6,True,Virgo,13.8343703890977,10,False,Sagittarius,5.603671496418144,1,False,Sagittarius,4.8469077062955535,1,False,Sagittarius,14.322171406670122,1,False,Aquarius,17.092432801325117,3,True,Leo,17.092432801325117,9,True,28.6138954,77.2090057,5.5
About Mohit Sharma/ Who is Mohit Sharma ?,"December 19, 1991",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/mohit-sharma-horoscope.asp,Dirty Data,Dirty Data,Sagittarius,3.095449965433687,11,False,Taurus,3.32111454162564,4,False,Scorpio,20.738534120378404,10,False,Scorpio,14.211834177393255,10,False,Leo,20.662505230883824,7,False,Libra,21.456476282120207,9,False,Capricorn,10.738923934746708,12,False,Sagittarius,19.180595303200107,11,False,Sagittarius,21.994406314595096,11,False,Sagittarius,16.73113479611345,11,True,Gemini,16.73113479611345,5,True,28.6138954,77.2090057,5.5
About Akshar Patel/ Who is Akshar Patel ?,"January 20, 1994",12:00:00,Anand,https://www.astrosage.com/celebrity-horoscope/akshar-patel-horoscope.asp,Dirty Data,Dirty Data,Capricorn,6.195085445073062,10,False,Aries,10.724218616486088,1,False,Capricorn,0.0941468137507399,10,False,Capricorn,16.81075815839864,10,False,Libra,18.56545005139276,7,False,Capricorn,6.956918132974636,10,False,Aquarius,5.228615245601532,11,False,Sagittarius,28.93966045057033,9,False,Sagittarius,27.41054180230668,9,False,Scorpio,6.298224141915483,8,True,Taurus,6.298224141915512,2,True,22.5586555,72.9627227,5.5
About Virendar Sehwag/ Who is Virendar Sehwag ?,"October 20, 1978",02:45:00,Delhi,https://www.astrosage.com/celebrity-horoscope/virendar-sehwag-horoscope.asp,Dirty Data,Dirty Data,Libra,2.5700968009551275,3,False,Taurus,16.566853229455262,10,False,Libra,27.07840745379434,3,False,Libra,15.30520865120883,3,False,Cancer,13.36906828243778,12,False,Libra,29.1868597699696,3,True,Leo,16.71524719198186,1,False,Libra,21.89267756067736,3,False,Scorpio,22.72204395183394,4,False,Virgo,1.537221275532005,2,True,Pisces,1.5372212755320334,8,True,28.6138954,77.2090057,5.5
About Ripal Patel/ Who is Ripal Patel ?,"September 28, 1995",12:00:00,Nadiad,https://www.astrosage.com/celebrity-horoscope/ripal-patel-horoscope.asp,Dirty Data,Dirty Data,Virgo,10.86853679875017,11,False,Libra,26.765059329416744,12,False,Libra,20.34336964602059,12,False,Virgo,24.352351842264,11,True,Scorpio,16.24500835921083,1,False,Virgo,21.20124269256232,11,False,Aquarius,26.504093092334188,4,True,Capricorn,2.7547035561055395,3,True,Sagittarius,28.987423379879885,2,True,Libra,3.655141445823233,12,True,Aries,3.655141445823233,6,True,22.6895535,72.8713603,5.5
About Vishnu Vinod/ Who is Vishnu Vinod ?,"December 2, 1993",12:00:00,Thirumangalam,https://www.astrosage.com/celebrity-horoscope/vishnu-vinod-horoscope.asp,Dirty Data,Dirty Data,Scorpio,16.317429885061955,10,False,Gemini,21.393364449631264,5,False,Scorpio,22.986648058355684,10,False,Libra,29.208518441468044,9,False,Libra,10.722330495123458,9,False,Scorpio,5.312879079495332,10,False,Aquarius,0.9023153858879596,1,False,Sagittarius,26.184244798281327,11,False,Sagittarius,25.64908129912169,11,False,Scorpio,8.894833036459545,10,True,Taurus,8.894833036459545,4,True,13.085335,80.201518,5.5
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,https://www.astrosage.com/celebrity-horoscope/lukman-meriwala-horoscope.asp,Dirty Data,Dirty Data,Scorpio,24.958644115636844,10,False,Capricorn,20.513752683937923,12,False,Scorpio,14.95649543145339,10,False,Scorpio,18.74604409022629,10,True,Leo,20.268736760189,7,False,Libra,12.030728200649918,9,False,Capricorn,9.944126730281257,12,False,Sagittarius,18.725110334470685,11,False,Sagittarius,21.710906944343947,11,False,Sagittarius,17.155070956979444,11,True,Gemini,17.155070956979444,5,True,22.2973142,73.1942567,5.5
About Tom Curran/ Who is Tom Curran ?,"March 12, 1995",12:00:00,Cape Town,https://www.astrosage.com/celebrity-horoscope/tom-curran-horoscope.asp,Dirty Data,Dirty Data,Aquarius,27.56982148564145,10,False,Cancer,0.7469378211203264,3,False,Cancer,20.32916434168632,3,True,Aquarius,2.7470268715305224,10,False,Scorpio,20.96533192566744,7,False,Capricorn,17.39669220774175,9,False,Aquarius,21.997803525093214,10,False,Capricorn,5.507232417587261,9,False,Capricorn,1.1740097499457534,9,False,Libra,14.245816815336552,6,True,Aries,14.245816815336523,12,True,-33.9288301,18.4172197,2.0
About Tushar Deshpande/ Who is Tushar Deshpande ?,"May 15, 1995",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/tushar-deshpande-horoscope.asp,Dirty Data,Dirty Data,Taurus,0.183619640742318,11,False,Scorpio,5.906861314946127,5,False,Leo,1.7245515623145593,2,False,Taurus,21.25348584504536,11,False,Scorpio,18.833859925726188,5,True,Aries,4.142106034574357,10,False,Aquarius,28.79601699351514,8,False,Capricorn,6.638687805417874,7,True,Capricorn,1.6751116064967275,7,True,Libra,10.862055726073775,4,True,Aries,10.862055726073775,10,True,19.054999,72.8692035,5.5
